emp_no,first_name,last_name,title,dept_name,from_date,to_date
10095,Hilari,Morton,Senior Staff,Sales,1994-03-10,9999-01-01
10122,Ohad,Esposito,Technique Leader,Development,1998-08-06,9999-01-01
10291,Dipayan,Seghrouchni,Senior Staff,Sales,1987-03-30,9999-01-01
10476,Kokou,Iisaka,Senior Staff,Research,1987-09-20,9999-01-01
10663,Teunis,Noriega,Technique Leader,Production,1999-02-12,9999-01-01
10762,Lech,Himler,Senior Staff,Research,1992-01-21,9999-01-01
10933,Juyoung,Seghrouchni,Senior Engineer,Production,1993-08-02,9999-01-01
12155,Keiichiro,Glinert,Engineer,Production,1993-09-16,9999-01-01
12408,Rasiah,Sudkamp,Senior Engineer,Development,1995-04-18,9999-01-01
12643,Morrie,Schurmann,Staff,Finance,1998-12-31,9999-01-01
13499,Kazuhiko,Sidou,Technique Leader,Production,1991-09-01,9999-01-01
14075,Denny,Tchuente,Assistant Engineer,Development,1991-05-30,9999-01-01
14104,Sudhanshu,Demian,Senior Staff,Human Resources,1994-07-23,9999-01-01
14127,Magdalena,Cannard,Engineer,Production,1994-04-22,9999-01-01
14158,Caolyn,Setiz,Senior Staff,Sales,1990-02-06,9999-01-01
14476,Sastry,Marrevee,Engineer,Production,1999-09-25,9999-01-01
14907,Nakhoon,Luga,Senior Staff,Sales,1986-12-18,9999-01-01
15050,Nikolaos,Kruskal,Engineer,Production,1990-12-17,9999-01-01
15058,Bouchung,Bugrara,Senior Staff,Finance,1990-06-18,9999-01-01
15413,Arvin,Rabejac,Engineer,Development,1994-01-01,9999-01-01
16461,Remmert,Schahn,Senior Staff,Sales,1986-09-06,9999-01-01
16528,Gaurav,Swick,Assistant Engineer,Production,1996-05-07,9999-01-01
17013,Morris,Garigliano,Senior Staff,Finance,1995-05-24,9999-01-01
17206,Berry,DeMori,Engineer,Production,1992-12-27,9999-01-01
17369,Yaghout,Kenevan,Engineer,Production,2000-09-15,9999-01-01
17447,Zengping,Boreale,Staff,Sales,1998-12-16,9999-01-01
17731,Gennady,Roison,Assistant Engineer,Development,1989-12-06,9999-01-01
17970,Filipp,Carrere,Technique Leader,Production,1989-01-09,9999-01-01
17988,Mabhin,Calkin,Engineer,Production,1989-11-30,9999-01-01
18021,Adil,Matzke,Engineer,Development,1987-05-08,9999-01-01
18424,Filipp,Rousseau,Engineer,Development,1995-06-07,9999-01-01
18583,Stafford,Honglei,Staff,Customer Service,1998-08-16,9999-01-01
18617,Surveyors,Crouzet,Senior Staff,Human Resources,1989-04-24,9999-01-01
18810,Taiji,Jarecki,Engineer,Development,1991-06-27,9999-01-01
19236,Elzbieta,Morris,Engineer,Production,1988-07-12,9999-01-01
19350,Satoru,Yoshizawa,Senior Staff,Customer Service,1994-03-27,9999-01-01
19803,Ziva,Kowalchuk,Engineer,Development,1987-06-13,9999-01-01
20100,Utz,Heuter,Senior Staff,Marketing,1986-06-15,9999-01-01
20128,Kazunori,Peak,Senior Staff,Customer Service,1999-08-13,9999-01-01
20129,Rafael,Skafidas,Engineer,Production,1991-03-28,9999-01-01
20248,Vidar,Demri,Staff,Customer Service,1999-12-31,9999-01-01
20313,Candida,Benveniste,Engineer,Production,1999-01-20,9999-01-01
20500,Christoph,Trystram,Senior Staff,Customer Service,1993-10-15,9999-01-01
20885,Otmar,Rothenberg,Engineer,Production,1989-03-14,9999-01-01
21181,Jianhui,Cangellaris,Assistant Engineer,Production,1991-10-06,9999-01-01
21188,Piyush,Danecki,Engineer,Development,2000-01-08,9999-01-01
21546,Yongmin,Lanteri,Senior Staff,Marketing,2002-03-19,9999-01-01
21843,Karsten,Azadmanesh,Senior Engineer,Development,1985-11-29,9999-01-01
21909,Mohammed,Brizzi,Senior Staff,Sales,1991-12-28,9999-01-01
22185,Huai,Birch,Assistant Engineer,Production,2002-06-12,9999-01-01
22415,Perla,Jumpertz,Senior Staff,Sales,1994-08-24,9999-01-01
22451,Jasminko,Bresenham,Senior Staff,Development,1994-01-19,9999-01-01
22455,Barry,Unno,Senior Staff,Marketing,1990-11-16,9999-01-01
22926,Manibrata,Genther,Engineer,Production,1988-01-15,9999-01-01
23396,Hilari,Fairtlough,Technique Leader,Production,1986-12-15,9999-01-01
24080,Jaana,Perez,Technique Leader,Development,1996-03-11,9999-01-01
24205,Roddy,Rubsam,Senior Engineer,Development,1993-09-19,9999-01-01
24377,Lubomir,Wroclawski,Engineer,Quality Management,1993-07-25,9999-01-01
24394,Zhonghui,Conta,Staff,Sales,1994-09-10,9999-01-01
24553,Anwar,Passafiume,Senior Staff,Sales,1987-01-30,9999-01-01
24571,Cordelia,Gischer,Engineer,Production,1989-03-14,9999-01-01
25488,Ingmar,Basawa,Senior Staff,Research,1991-11-09,9999-01-01
26629,Nevin,Rodham,Senior Staff,Research,1998-12-14,9999-01-01
26671,Jiakeng,Kalorkoti,Engineer,Development,1994-12-25,9999-01-01
26788,Zongyan,Dalphin,Engineer,Development,1988-04-23,9999-01-01
27331,Wanqing,Krohm,Senior Staff,Customer Service,1991-01-22,9999-01-01
27378,Piyawadee,Leppanen,Senior Staff,Finance,1999-02-25,9999-01-01
27620,Shuji,Kandlur,Engineer,Production,1990-03-02,9999-01-01
27686,Manu,Rosiles,Senior Staff,Sales,1998-03-03,9999-01-01
27699,Falguni,Pezzoli,Engineer,Production,1996-12-23,9999-01-01
27767,Tooru,Veldwijk,Senior Staff,Customer Service,1993-11-21,9999-01-01
28193,Xinglin,Mitsuhashi,Engineer,Development,1988-12-14,9999-01-01
28974,Chenxi,Sundgren,Senior Engineer,Development,1986-09-02,9999-01-01
28988,Tua,Giveon,Technique Leader,Production,1998-09-09,9999-01-01
29130,Xumin,Thorensen,Staff,Marketing,1998-04-26,9999-01-01
29265,Gilbert,Calkin,Senior Staff,Customer Service,1988-03-21,9999-01-01
29380,Satoru,Vidal,Assistant Engineer,Production,1998-05-02,9999-01-01
29418,Valery,Mersereau,Assistant Engineer,Production,1998-07-01,9999-01-01
29679,Kolar,Steenbeek,Senior Engineer,Development,1986-10-18,9999-01-01
29782,Jouko,Hellwagner,Senior Engineer,Production,2000-10-23,9999-01-01
29954,Pranay,Giarratana,Senior Engineer,Production,1992-09-29,9999-01-01
30007,Kousuke,Vecchio,Engineer,Production,1990-02-23,9999-01-01
30035,Tetsushi,Conta,Senior Staff,Research,1995-07-04,9999-01-01
30154,Mayuko,Skafidas,Technique Leader,Development,1999-04-19,9999-01-01
30182,Leon,Potthoff,Engineer,Development,1985-12-08,9999-01-01
30465,Randi,Avouris,Engineer,Development,1986-07-16,9999-01-01
30484,Sailaja,Chvatal,Staff,Sales,1999-05-18,9999-01-01
30695,Gudjon,Majewski,Senior Engineer,Development,1999-10-26,9999-01-01
30938,Yakkov,Samarati,Senior Staff,Marketing,1997-10-10,9999-01-01
31147,Divine,Sidhu,Senior Staff,Finance,1989-07-05,9999-01-01
31188,Leandro,Gist,Technique Leader,Production,1993-02-03,9999-01-01
31207,Abdelwaheb,Dulin,Senior Engineer,Production,1993-08-05,9999-01-01
31341,Oksana,Zultner,Senior Staff,Finance,1991-03-23,9999-01-01
31514,Harngdar,Schapire,Engineer,Development,1996-11-09,9999-01-01
31568,Mark,Lalonde,Staff,Marketing,1996-11-24,9999-01-01
31909,Murthy,Peek,Engineer,Production,2000-10-30,9999-01-01
32347,Terresa,Peres,Senior Staff,Marketing,1990-09-15,9999-01-01
32552,Atreye,Stanger,Assistant Engineer,Development,1993-09-10,9999-01-01
32649,Ingmar,Nannarelli,Senior Staff,Research,1988-06-10,9999-01-01
32714,Radoslaw,Maliniak,Staff,Marketing,2001-09-18,9999-01-01
32844,Tadahiko,Melton,Engineer,Development,1995-01-07,9999-01-01
33025,Jessie,Thorelli,Senior Staff,Customer Service,1999-12-16,9999-01-01
33215,Steen,Fasbender,Technique Leader,Production,1993-02-14,9999-01-01
33722,Anwar,Collette,Senior Engineer,Research,2001-02-03,9999-01-01
34077,Angel,Sichman,Senior Staff,Sales,1988-11-16,9999-01-01
34261,Kyoichi,Callaway,Senior Staff,Human Resources,1990-12-30,9999-01-01
34446,Chinhyun,Bauknecht,Senior Engineer,Development,1986-12-19,9999-01-01
34452,Naftaly,Foong,Engineer,Production,1991-05-10,9999-01-01
34505,Felicidad,Kumaresan,Senior Staff,Sales,1994-09-06,9999-01-01
34533,Erzsebet,Shigei,Senior Engineer,Quality Management,1995-01-16,9999-01-01
34780,Moni,Kohling,Staff,Sales,2001-09-18,9999-01-01
34788,Ennio,Babu,Senior Engineer,Production,1994-08-31,9999-01-01
34936,Bokyung,Stamatiou,Technique Leader,Production,1991-02-12,9999-01-01
35044,Jiang,Waschkowski,Engineer,Production,1989-05-27,9999-01-01
35087,Leif,Ashish,Senior Staff,Customer Service,1994-10-14,9999-01-01
35441,Chandrasekaran,Peek,Engineer,Research,1990-09-17,9999-01-01
35642,Ashish,Talmon,Engineer,Quality Management,1999-02-28,9999-01-01
35793,Oscar,Kusalik,Senior Staff,Customer Service,1991-05-11,9999-01-01
35798,Ulf,Oberman,Senior Engineer,Development,1997-03-15,9999-01-01
36521,Serif,Gladwell,Senior Staff,Finance,1987-03-06,9999-01-01
36626,Fen,Genin,Senior Staff,Sales,1986-05-09,9999-01-01
36733,Uma,Reinhard,Staff,Customer Service,1997-11-01,9999-01-01
36844,Hailing,Levergood,Staff,Customer Service,2000-01-12,9999-01-01
36982,Kotesh,Rajala,Engineer,Quality Management,1992-06-23,9999-01-01
37070,Jeong,Undy,Senior Staff,Customer Service,1985-02-13,9999-01-01
37945,Suzette,Butterworth,Senior Engineer,Development,1994-02-19,9999-01-01
38043,Michaela,Randi,Engineer,Development,1985-11-23,9999-01-01
38103,Masasuke,Babu,Engineer,Production,1988-03-31,9999-01-01
38168,Fumiko,Deverell,Senior Staff,Sales,1987-08-15,9999-01-01
38550,JoAnne,Baez,Senior Engineer,Quality Management,1987-02-16,9999-01-01
38593,Huei,Orsini,Engineer,Production,1986-06-04,9999-01-01
38947,Shuichi,Ruemmler,Senior Staff,Marketing,1998-04-08,9999-01-01
39000,Martijn,Vendrig,Senior Staff,Research,1997-03-03,9999-01-01
39036,Changho,Cappelli,Staff,Human Resources,1996-05-04,9999-01-01
39301,Rimon,Kawashima,Senior Staff,Research,1992-02-06,9999-01-01
39341,Mahmut,Lampe,Engineer,Production,1985-05-11,9999-01-01
39952,Otmar,Sudbeck,Staff,Sales,1998-07-22,9999-01-01
40269,Toshiki,Ghazalie,Senior Staff,Sales,1991-12-05,9999-01-01
40283,Sudhanshu,Boissier,Engineer,Development,1985-05-11,9999-01-01
40301,Spyrose,Felder,Senior Engineer,Customer Service,1997-10-20,9999-01-01
40536,Harngdar,Bernardinello,Engineer,Development,1988-02-29,9999-01-01
40765,Michaela,Ramsak,Senior Staff,Research,1992-12-21,9999-01-01
40773,Shimshon,Aingworth,Senior Staff,Customer Service,1986-04-13,9999-01-01
40983,Marla,Cherinka,Technique Leader,Development,1986-12-01,9999-01-01
41114,Petter,Thummel,Technique Leader,Production,1995-12-24,9999-01-01
41137,Bikash,Buchter,Senior Staff,Customer Service,1996-01-08,9999-01-01
